Name,Value,Loan,Expiring,Position
Mateta,10000000,N,2026,attacker
Edouard,20000000,N,2025,attacker
Ayew,6000000,N,2025,attacker
Franca,20000000,N,2028,attacker
Plange,2000000,Y,2025,attacker
,,,,
Olise,50000000,N,2027,midfielder
Eze,50000000,N,2027,midfielder
Lerma,20000000,N,2026,midfielder
Schlupp,7000000,N,2024,midfielder
Hughes,9000000,N,2024,midfielder
Ebiowei,4000000,Y,2027,midfielder
Doucoure,35000000,N,2027,midfielder
Ahamada,8000000,N,2026,midfielder
Riedewald,4000000,N,2024,midfielder
Rak-Sakyi,5000000,Y,2027,midfielder
Ozoh,1000000,Y,2026,midfielder
Wharton,20000000,N,2029,midfielder
,,,,
Munoz,10000000,N,2027,defender
Ward,1500000,N,2024,defender
Mitchell,25000000,N,2025,defender
Holding,5000000,N,2026,defender
Tomkins,700000,N,2024,defender
Guehi,40000000,N,2026,defender
Andersen,35000000,N,2026,defender
Clyne,2000000,N,2024,defender
Richards,8000000,N,2027,defender
Ferguson,1000000,N,2024,defender
,,,,
Johnstone,12000000,N,2027,keeper
Henderson,18000000,N,2028,keeper
Matthews,500000,N,2024,keeper
Whitworth,1000000,Y,2027,keeper
